"Status","Population","Life.expectancy","Adult.Mortality","Alcohol","BMI","infant.deaths","Measles","Polio","Hepatitis.B","GDP","Total.expenditure","Diphtheria","thinness..1.19.years","HIV.AIDS"
0,3283196,72.3,14,0.45,47.9,19,3289,86,81,2598.9823,3.54,86,6.2,0.1
0,2692466,51.7,348,8.33,22.7,67,11699,68,64,479.31224,3.31,64,8.5,2
0,2599834,51.1,355,8.1,22.1,69,8523,67,77,484.616884,4.26,77,8.6,2.3
0,259615,56,358,8.24,21.5,72,4458,75,75,4598.249988,3.3,75,8.8,2.6
0,24218565,51,361,8.06,21,75,1449,73,72,4299.12889,3.38,71,8.9,2.5
0,23369131,49.6,365,7.8,2.4,78,1190,81,77,3529.53482,3.39,77,9.1,2.5
0,22549547,49.1,369,7.01,19.8,81,2807,63,61,3347.84485,4.37,6,9.3,2.5
0,2175942,48.7,371,7.07,19.3,84,265,65,69,3868.578883,3.84,69,9.5,2.6
0,2997687,48.2,375,6.35,18.8,87,1014,75,73,2878.837144,3.38,73,9.6,2.6
0,42981515,76.2,118,7.93,62.2,8,1,92,94,12245.25645,4.79,94,1,0.1
0,42539925,76,119,8.28,61.6,8,0,99,94,12976.63642,4.99,94,1,0.1
0,4296739,75.9,12,8.35,61,9,2,99,91,12969.7712,5.2,91,1,0.1
0,41656879,75.7,12,8.11,6.4,9,3,93,91,12726.9836,5.89,91,1,0.1
0,41223889,75.5,121,8.15,59.8,10,17,95,94,1276.265,6.55,94,1,0.1
0,479947,75.6,126,8.33,59.2,10,3,97,94,8161.36966,7.63,94,1,0.1
0,4382389,75.4,126,8.41,58.6,10,0,94,9,8953.359275,6.66,93,1,0.1
0,3997224,74.8,129,8.16,58,10,0,92,85,7193.61764,6.49,91,1.1,0.1
0,3955889,75.2,127,7.75,57.5,11,0,92,84,5878.76127,6.68,91,1.1,0.1
0,39145488,74.9,127,7.53,56.9,11,0,95,88,576.883829,6.85,98,1.1,0.1
0,38728696,74.7,13,7.63,56.3,11,0,91,81,4251.574348,6.84,98,1.1,0.1
0,3839379,74.1,137,7.62,55.7,11,0,95,73,333.4376,8.22,96,1.2,0.1
0,3788937,74.1,138,7.81,55.1,12,0,94,66,2579.193168,8.31,93,1.2,0.1
0,29622,74.6,12,3.91,54.1,1,13,95,93,3994.712355,4.48,93,2.1,0.1
0,289359,74.4,123,3.79,53.3,1,10,96,95,3843.591213,4.55,95,2.1,0.1
0,2881922,74.4,121,3.89,52.6,1,0,96,95,3684.8481,4.48,95,2,0.1
0,2875581,73.9,128,4.09,51.9,1,0,96,95,3526.978143,3.71,95,2,0.1
0,2877311,73.5,132,4.23,51.2,1,2,96,94,3218.381655,4.56,94,2,0.1
0,2888584,73.3,137,3.96,5.7,1,0,94,93,2993.832531,4.55,93,2,0.1
0,29822,73.2,14,3.96,5.1,1,0,91,89,41.26997,3.8,89,2,0.1
0,293356,73.5,132,3.99,49.7,1,1,9,85,3138.8873,4.31,88,2,0.1
0,29585,72.9,141,4.01,49.2,1,137,87,78,2158.299,4.58,87,2,0.1
0,2981259,73,137,4.25,48.8,1,2281,92,91,1643.758397,5.25,9,2,0.1
0,3612,73,132,3.81,48.4,1,1783,93,91,1191.96192,5.5,91,2,0.1
0,31786,72.7,134,3.03,48.1,1,4,96,93,93.1661567,5.56,94,2,0.1
0,333897,72.6,134,2.86,47.8,1,40,96,91,783.261699,5.4,94,2.1,0.1
0,35655,72.6,141,2.86,47.4,1,69,97,69,694.435119,5.94,94,2.1,0.1
0,369588,72,142,2.9,47.1,1,15,96,55,622.7427477,6.25,93,2.1,0.1
1,2346694,82.7,6,9.71,66.1,1,340,92,91,62214.6912,9.42,92,0.6,0.1
1,23117353,82.5,61,9.87,65.5,1,158,91,91,67792.3386,9.36,91,0.6,0.1
1,22728254,82.3,61,10.03,65,1,199,92,91,67677.63477,9.36,92,0.6,0.1
1,223424,82,63,10.3,64.4,1,190,92,92,62245.129,9.2,92,0.6,0.1
1,223175,81.9,64,10.52,63.9,1,70,92,92,51874.848,9.2,92,0.7,0.1
1,216917,81.7,66,10.62,63.4,1,104,92,94,42742.99898,9.5,92,0.7,0.1
1,212492,81.3,66,10.76,62.9,1,65,92,94,49664.6854,8.78,92,0.7,0.1
1,28276,81.3,66,10.56,62.5,1,11,92,94,4991.98289,8.53,92,0.7,0.1
1,26979,81.2,66,10.31,62,1,0,92,95,36118.28381,8.49,92,0.7,0.1
1,23948,81,67,10.3,61.5,1,10,92,95,3416.71483,8.45,92,0.7,0.1
1,21274,86,69,9.84,6.9,1,70,92,95,3472.37977,8.57,92,0.7,0.1
1,198954,83,71,9.97,6.3,1,91,92,95,23465.38559,8.32,93,0.7,0.1
1,196514,79.9,73,9.84,59.6,1,32,92,95,281.81763,8.39,92,0.7,0.1
1,19413,79.9,75,9.53,59,1,141,91,94,19517.84168,8.18,92,0.7,0.1
1,8541575,81.4,66,12.32,57.1,0,117,98,98,51322.63997,11.21,98,1.8,0.1
1,8479375,81.1,68,11.82,56.6,0,0,95,95,554.71532,11.14,95,1.8,0.1
1,8429991,88,7,12.26,56.1,0,36,92,92,48333.57273,11.17,92,1.8,0.1
1,8391643,88,73,12.04,55.7,0,68,89,89,51126.74139,1.94,89,1.7,0.1
1,836344,84,75,12.1,55.2,0,52,86,86,46657.629,11.17,86,1.7,0.1
1,8343323,82,77,11.3,54.7,0,49,83,83,47654.18721,11.19,83,1.7,0.1
1,8321496,84,76,12,54.2,0,448,83,83,51386.37665,1.6,83,1.7,0.1
1,8295487,81,8,12.5,53.7,0,20,85,85,46586.6525,1.4,85,1.7,0.1
1,8268641,79.8,81,12.4,53.2,0,23,83,83,443.99361,1.35,83,1.7,0.1
1,8227829,79.4,85,12.4,52.7,0,9,86,86,38242.4252,1.53,86,1.7,0.1
1,8171966,79.3,86,12.1,52.2,0,15,83,83,36693.4262,1.56,83,1.7,0.1
1,8121423,78.8,88,12.2,51.7,0,90,84,83,3212.9355,1.48,84,1.7,0.1
1,881957,78.7,9,12.5,51.2,0,0,82,81,26351.37568,1.27,83,1.7,0.1
1,842293,78.6,92,12.4,5.6,0,0,83,44,24489.73553,1.12,84,1.7,0.1
1,811566,78.1,96,13.2,5.1,0,0,71,33,24517.26745,1.6,81,1.7,0.1
0,953579,72.5,119,0.01,51.5,5,0,97,94,7891.299776,6.4,94,2.8,0.1
0,941681,72.2,121,2.14,5.6,5,164,96,93,7875.756953,5.54,93,2.8,0.1
0,9295784,71.9,123,0.01,49.7,5,0,92,88,7496.335728,5.37,89,2.8,0.1
0,917382,71.6,125,1.98,48.8,5,0,91,84,7189.691229,5.1,87,2.8,0.1
0,954332,71.1,13,1.98,48,5,0,85,8,5842.85784,5.33,81,2.8,0.1
0,8947243,78,132,2.1,47.3,6,0,84,74,495.294791,5.85,81,2.8,0.1
0,87634,73,141,1.18,46.6,6,5,85,68,5574.6382,4.37,81,2.8,0.1
0,85813,73,14,1.02,45.9,6,0,81,62,3851.437869,5.1,79,2.8,0.1
0,848455,69.2,154,0.85,45.3,6,222,8,52,2473.85776,6.17,78,2.9,0.1
0,839185,68.4,162,0.73,44.7,6,1238,79,49,1578.4239,7.86,75,2.9,0.1
0,8365,68.4,154,0.62,44.2,6,827,78,5,145.2163,7.92,77,3,0.1
0,82341,67.8,154,0.55,43.6,7,1978,79,51,883.6439965,6.56,77,3,0.1
0,817195,67.8,146,0.55,43.1,7,4353,8,5,763.73858,4.47,76,3.1,0.1
0,15945279,71.4,132,0.01,17.7,98,289,97,97,184.56543,2.82,97,18.1,0.1
0,157571292,71,135,0.01,17,104,237,96,96,951.8894535,2.88,96,18.3,0.1
0,15572753,77,137,0.01,16.4,111,1986,94,94,856.342857,3.8,94,18.5,0.1
0,153911916,73,14,0.01,15.8,118,5625,96,96,835.789341,3.16,96,18.7,0.1
0,15214912,69.9,142,0.01,15.2,126,788,94,94,757.6717572,3.6,94,18.9,0.1
0,1545478,69.5,144,0.01,14.6,135,718,97,97,681.125368,2.91,97,19.1,0.1
0,14885814,69.1,147,0.01,14,144,2660,96,96,615.7775411,2.85,96,19.3,0.1
0,147139191,68.6,151,0.01,13.5,154,2924,96,95,541.651484,2.8,94,19.5,0.1
0,1453684,68.2,152,0.01,13,164,6192,95,86,494.51466,2.8,94,19.7,0.1
0,14343111,67.8,155,0.01,12.5,174,25934,94,45,484.155471,2.68,93,19.9,0.1
0,14137489,67.3,158,0.01,12,185,9743,88,11,46.7579167,2.62,99,2.1,0.1
0,139191,66.8,161,0.01,11.6,196,4067,9,5,432.7388972,2.51,87,2.3,0.1
0,9474511,72,199,13.94,61.7,0,64,97,97,8318.429294,5.69,97,1.9,0.1
0,9465997,71.7,23,14.66,61.1,0,16,98,98,7978.825443,6.7,98,2,0.1
0,9464495,71.9,194,16.35,6.5,0,10,98,97,694.243915,5.1,98,2,0.1
0,9473172,72,232,17.31,59.9,0,50,98,98,6519.71753,4.92,98,2,0.1
0,949583,73,222,14.44,59.3,0,1,99,96,63.38877,5.55,98,2,0.1
0,956765,70,226,14.09,58.7,0,0,98,98,5176.172649,6.9,96,2.1,0.1
0,9527985,70,224,14.67,58.2,1,0,98,98,6376.183153,5.95,97,2.1,0.1
0,956953,69.8,226,14.22,57.7,1,1,9,91,4735.484827,6.44,95,2.2,0.1
0,964924,68.9,243,12.6,57.2,1,149,97,98,3848.215966,6.34,99,2.2,0.1
0,9663915,68.1,252,11.01,56.7,1,1,98,99,3126.71767,6.89,99,2.3,0.1
0,973146,68.2,247,12.05,56.2,1,2,99,99,2378.33927,6.59,99,2.4,0.1
0,9796749,67.7,253,11.17,55.8,1,21,53,56,1819.525644,6.59,5,2.5,0.1
0,9865548,67.2,262,12.23,55.3,1,14,99,99,1479.383142,6.47,99,2.5,0.1
0,9928549,67.7,254,10.74,54.9,1,45,99,93,1244.373185,6.62,99,2.6,0.1
0,997961,68,247,12.98,54.4,1,21,99,7,1276.28834,6.13,99,2.7,0.1
1,112957,89,76,12.6,63.4,0,70,99,98,47439.39684,1.59,99,1,0.1
1,11182817,87,77,11.77,63,0,39,99,98,4651.38647,1.57,99,1,0.1
1,11128246,83,78,10.08,62.6,0,109,99,98,4474.5717,1.54,99,0.9,0.1
1,1147744,83,8,10.11,62.3,0,576,98,97,4772.77415,1.42,98,0.9,0.1
1,1895586,80,81,10.22,61.9,0,40,98,97,4438.23741,1.17,98,0.9,0.1
1,1796493,79.8,85,10.05,61.6,0,33,98,97,4488.5615,1.39,98,0.9,0.1
1,179973,79.5,87,10.47,61.3,0,98,99,98,48424.58927,9.6,99,0.8,0.1
1,16257,79.5,86,10.25,6.9,0,64,99,94,4443.83131,9.25,98,0.8,0.1
1,1547958,79.4,85,10.98,6.6,0,15,99,94,38852.3613,9.17,98,0.8,0.1
1,1478617,78.9,89,12.27,6.2,0,26,97,77,36967.28292,9.24,97,0.8,0.1
1,1421137,78.8,91,12.05,59.8,1,61,96,64,35589.71295,9.32,95,0.8,0.1
1,1376133,78.3,95,11.28,59.4,0,44,96,64,3743.95693,9.3,95,0.8,0.1
1,1332785,78,99,11.29,59,1,0,96,6,2552.3328,8.46,95,0.8,0.1
1,128657,78,1,11.01,58.5,1,83,96,6,23121.56635,8.29,95,0.8,0.1
1,125125,77.6,11,11.21,58.1,1,0,96,6,2327.4591,8.12,95,0.8,0.1
0,351694,70,177,6.58,5.1,0,0,95,95,4852.223666,5.79,95,3.4,0.2
0,344181,69.8,18,6.56,49.3,0,0,95,95,4688.538443,5.79,95,3.4,0.2
0,33671,69.4,189,6.66,48.5,0,0,98,98,4673.63848,5.45,98,3.5,0.1
0,329192,69.4,188,6.64,47.8,0,0,95,95,4516.24675,5.61,95,3.5,0.5
0,32168,69.5,186,6.76,47,0,0,96,96,4344.15177,5.85,96,3.5,0.2
0,313929,69.5,184,6.85,46.3,0,0,98,97,4258.788611,5.81,97,3.5,0.3
0,36165,69.6,181,7.22,45.7,0,0,94,94,447.22796,5.9,94,3.5,0.1
0,29847,69.6,181,7.24,45,0,0,97,96,4324.876427,4.76,96,3.5,0.6
0,29747,69.4,184,6.48,44.4,0,0,98,98,4187.3783,4.4,98,3.6,0.6
0,283277,69,191,6.25,43.8,0,0,96,96,3933.332215,4.45,96,3.6,0.8
0,27689,68.7,197,6.2,43.2,0,0,97,97,3831.53819,4.39,97,3.6,0.8
0,26913,68.4,21,5.67,42.6,0,0,95,96,3679.99523,4.53,96,3.6,1.5
0,26226,68.5,199,4.99,42,0,0,93,97,3556.561825,4.38,89,3.7,0.1
0,254984,68.2,21,4.9,41.4,0,0,96,96,3419.275719,4.5,96,3.7,0.4
0,247315,68.3,196,4.79,4.8,0,0,91,76,3364.423711,3.98,91,3.8,0.3
0,1286712,59.7,252,0.01,25.2,25,786,74,78,943.686575,4.59,78,7.1,1.1
0,14451,59.5,251,0.01,24.6,25,637,73,77,915.2674586,4.59,77,7.2,1.2
0,972916,59.3,251,0.01,24.1,25,288,8,8,837.9551,4.86,8,7.4,1.3
0,94682,59.1,251,1.4,23.5,25,426,77,75,825.9427854,5.37,75,7.6,1.4
0,9199259,58.7,254,1.33,23,25,392,77,76,757.695974,4.95,76,7.8,1.4
0,894476,58.4,259,1.16,22.5,25,1461,8,79,793.45243,4.46,79,7.9,1.6
0,8696916,57.6,278,1.28,22,25,928,77,75,82.1513498,4.2,75,8.1,1.8
0,8454791,57.1,283,1.12,21.5,25,341,82,82,76.535419,4.55,82,8.3,2
0,8216896,56.8,284,1.19,21,25,176,76,74,625.8392,4.75,74,8.5,2
0,7982225,56.5,285,1.13,2.5,25,210,73,7,61.799977,4.73,7,8.7,2.1
0,7754,56.1,285,1.15,2.1,25,262,74,75,583.493514,4.56,72,8.9,2.1
0,752555,55.8,285,1.35,19.7,25,217,75,73,519.2922847,4.63,73,9.1,2.1
0,7295394,55.6,283,1.23,19.2,25,1588,76,15,418.6985763,4.27,75,9.3,2.1
0,776448,69.4,216,0.01,23.6,0,0,98,99,2522.7968,3.57,99,15.7,0.5
0,764961,69.1,219,0.01,22.7,0,0,97,97,235.882889,3.83,97,15.9,0.6
0,752967,68.7,223,0.01,21.9,0,1,97,97,2422.816,3.7,97,16.1,0.6
0,7451,68.3,225,0.23,21.1,0,10,95,95,2458.45976,4.73,95,16.3,0.5
0,727641,67.9,228,0.28,2.3,1,21,92,91,2178.921383,5.17,91,16.6,0.5
0,714458,67.4,232,0.17,19.5,1,6,93,93,177.234497,6.3,93,16.8,0.4
0,795,67,234,0.21,18.8,1,7,96,96,1795.18137,6.58,96,17.1,0.4
0,686958,66.5,238,0.16,18,1,11,93,95,1741.142552,5.88,95,17.3,0.3
0,672228,65.8,245,0.29,17.4,1,2,96,95,1335.45696,5.27,95,17.5,0.3
0,656639,65,254,0.73,16.7,1,11,95,95,1247.61392,5.28,95,17.8,0.3
0,64282,64.2,263,0.96,16.1,1,3,9,89,197.45788,4.41,89,18,0.3
0,623434,63.3,273,0.52,15.5,1,0,96,95,997.7417141,4.9,95,18.3,0.2
0,66399,62.5,282,0.29,14.9,1,27,89,83,885.6382245,7.75,86,18.6,0.1
0,5896,61.7,29,0.14,14.4,1,756,88,89,87.9387673,5.91,88,18.9,0.1
0,573416,62,312,0.17,13.9,1,418,98,98,765.8632358,6.91,92,19.2,0.1
0,35662,77.2,89,4.03,55.3,0,3000,86,89,5193.94932,9.57,86,2.4,0.1
0,364999,77,9,4.12,54.7,0,0,87,91,535.86555,9.46,89,2.4,0.1
0,36482,76.8,92,4.61,54.2,0,22,87,92,4716.673325,9.94,92,2.5,0.1
0,3688865,76.9,92,4.64,53.7,0,10,89,88,55.156834,9.71,88,2.6,0.1
0,372284,76.4,94,4.54,53.1,0,45,9,89,4611.47298,9.58,89,2.6,0.1
0,3746561,76.1,97,4.75,52.6,0,22,9,9,4697.89732,9.64,9,2.7,0.1
0,3763599,76,98,5.13,52.1,0,8,92,88,575.31664,8.58,91,2.8,0.1
0,3774,75.4,16,5.16,51.5,0,166,95,94,418.292176,8.37,95,2.8,0.1
0,3779468,75.7,1,4.82,51,0,17,91,9,344.321698,8.28,87,2.9,0.1
0,378153,75,12,4.56,5.5,0,23,95,93,2968.41186,8.5,93,2.9,0.1
0,3781287,75.5,99,4.25,49.9,0,28,87,36,265.642661,9.4,84,3,0.1
0,2168573,65.1,268,0.01,37.3,2,1,96,95,7497.762376,5.41,95,6.7,2.3
0,212857,64.2,286,0.01,36.8,2,1,96,95,77.625783,5.84,95,7,2.8
0,289315,63.4,3,0.01,36.2,2,7,96,95,729.231453,6.27,95,7.3,4.4
0,251339,62.2,325,5.76,35.7,2,8,96,95,7645.21469,5.25,95,7.7,5.5
0,214866,61.1,349,5.99,35.2,2,853,96,95,6346.15624,5.64,95,8,6.2
0,1979882,59.2,393,5.01,34.7,2,184,96,94,5185.729845,6.39,96,8.4,9
0,1946351,57.5,427,6.56,34.2,2,0,96,94,5623.379566,5.55,96,8.8,12.7
0,1914414,56.9,436,6.21,33.7,2,1,96,93,5714.47937,4.71,96,9.2,13.4
0,1884238,54.8,491,6.45,33.2,2,6,96,93,5374.554867,4.93,96,9.6,14.4
0,1855852,51.7,566,6.37,32.7,2,5,96,92,5351.253732,5.62,96,1,20.6
0,182933,48.1,652,4.9,32.2,2,1,96,91,4896.583835,5.56,96,1.5,28.4
0,184339,46.4,693,5.51,31.6,2,59,96,9,4163.6596,4.65,96,1.9,31.9
0,1779953,46,699,6.41,31.1,2,7,97,88,355.618382,6.47,97,11.4,34.6
0,1754935,46.7,679,5.48,3.5,2,1,97,87,3128.97793,5.73,97,11.8,37.2
0,172834,47.8,647,5.37,29.9,2,2672,97,86,3349.68823,4.64,97,12.3,38.8
0,24213133,74.8,144,7.32,55.3,44,876,96,96,1226.61731,8.32,93,2.7,0.1
0,2248632,74.7,146,7.24,54.5,46,220,96,96,12216.9446,8.48,97,2.8,0.1
0,256983,74.5,148,7.55,53.6,49,2,96,96,12291.46685,8.26,95,2.8,0.1
0,198686688,74.1,152,7.58,52.8,51,43,98,98,13167.47289,8.9,99,2.9,0.1
0,196796269,73.8,154,7.52,52,54,68,99,96,11224.1548,8.27,99,2.9,0.1
0,194895996,73.6,157,7.33,51.1,57,0,99,99,8553.3847,8.65,99,3,0.1
0,19297929,73.4,158,7.21,5.3,61,0,99,96,8787.61375,8.24,99,3,0.1
0,19126637,73.3,159,7.19,49.4,65,0,99,99,7313.557962,8.28,99,3.1,0.1
0,18912412,73,161,7.1,48.6,70,57,99,99,586.145975,8.36,99,3.1,0.1
0,186917361,72.7,163,6.97,47.8,75,6,99,98,477.182746,8.27,99,3.2,0.1
0,184738458,72,17,6.85,46.9,81,0,99,96,3623.47667,7.7,99,3.2,0.1
0,182482149,71.8,172,6.95,46.1,88,2,99,97,359.587582,6.94,99,3.3,0.1
0,1815121,71.4,176,7,45.3,95,1,99,92,2819.649531,7.13,99,3.3,0.1
0,1777567,71,179,7.13,44.5,103,1,99,91,3146.95177,7.19,98,3.4,0.1
0,175287587,75,183,7.26,43.7,111,36,99,94,3739.11936,7.3,98,3.4,0.1
1,7223938,74.3,138,12.03,65.1,1,0,88,95,7853.335191,8.44,88,1.9,0.1
1,7265115,74.1,14,12.06,64.5,1,14,95,95,7674.86559,7.93,95,1.9,0.1
1,735888,73.9,139,10.99,63.9,1,1,95,95,7378.25539,7.11,95,1.9,0.1
1,7348328,73.7,144,10.67,63.3,1,157,95,96,7813.83499,6.88,95,2,0.1
1,7395599,73.4,147,10.8,62.7,1,22004,94,95,6843.263289,7.24,94,2,0.1
1,7444443,73.2,152,10.93,62.1,1,2249,94,96,6955.987733,6.78,94,2,0.1
1,7492561,72.9,155,10.98,61.5,1,1,96,96,7296.122479,6.61,95,2.1,0.1
1,7545338,72.6,157,10.89,6.9,1,1,95,95,5932.899677,6.41,95,2.1,0.1
1,76122,72.2,161,10.39,6.3,1,1,96,96,4513.13628,6.67,95,2.2,0.1
1,7658972,72.1,16,10.48,59.7,1,3,97,96,3893.68998,7.8,96,2.2,0.1
1,771686,72.2,157,10.96,59.1,1,0,94,94,3381.57837,7.9,95,2.3,0.1
1,7775327,72,155,11.19,58.6,1,0,96,96,271.46824,7.43,96,2.3,0.1
1,7837161,71.8,157,10.2,58.1,1,0,94,88,287.534843,7.41,93,2.4,0.1
1,89142,71.6,16,10.72,57.5,1,8,94,93,1764.97387,7.23,94,2.4,0.1
1,817172,71.1,163,9.69,57,1,46,94,94,169.28586,6.7,93,2.5,0.1
0,17585977,59.3,268,0.01,18.8,39,343,91,91,75.1464113,4.96,91,8.2,0.6
0,1772723,59,27,4.64,18.2,40,375,89,88,699.452847,5.91,88,8.4,0.7
0,16571216,58.6,271,4.75,17.7,41,7362,9,9,673.8227,5.33,9,8.6,0.8
0,168194,58.1,275,4.51,17.1,42,860,9,91,666.842783,5.17,91,8.8,0.9
0,1565217,57.5,279,4.55,16.6,43,2511,9,91,575.4464527,7.17,91,9,1
0,1514199,56.9,283,4.55,16.1,44,54118,91,92,552.7455521,7.41,92,9.3,1.1
0,14689726,56.1,288,4.5,15.6,45,395,92,93,569.7612784,6.77,93,9.5,1.5
0,1425221,55.3,293,4.58,15.1,46,12,93,89,475.11122,6.63,89,9.8,1.7
0,13829177,54.3,32,4.73,14.6,47,125,94,76,422.6332374,6.58,86,1,2
0,989179,59.1,297,0.01,18.2,22,0,95,95,312.7489794,7.54,95,7.4,0.7
0,96186,58.6,33,0.01,17.6,22,0,96,96,282.7555252,8.3,96,7.4,1
0,931971,58,312,0.01,17.1,22,49,96,96,265.285651,8.21,96,7.5,1.2
0,94358,57.4,321,4.16,16.6,22,129,95,96,26.479973,8.58,96,7.6,1.5
0,876693,56.8,33,4.16,16.1,23,495,94,96,231.1943256,8.82,96,7.7,1.9
0,848931,56.2,338,4.05,15.7,23,305,96,94,24.944652,6.96,94,7.8,2.4
0,8212264,55.3,35,4.33,15.2,23,173,89,92,196.2472628,7.86,92,7.9,2.9
0,7939573,54.8,355,4.54,14.8,24,43,93,99,17.79995,1.3,99,8,3.4
0,7675338,54.1,361,4.5,14.5,24,784,88,92,165.8794176,11.49,92,8.1,3.8
0,7423289,53.4,369,5.54,14.1,24,0,82,87,15.57434,9.84,87,8.2,4.3
0,7182451,52.6,378,5.72,13.8,24,2,76,83,127.4296648,7.1,83,8.4,4.8
0,526437,73,117,0.01,3.5,0,0,95,97,3529.61843,4.76,95,6.8,0.2
0,5216,72.8,12,0.01,29.7,0,0,93,94,3558.796314,4.29,93,6.9,0.2
0,513979,72.7,121,0.01,29,0,0,94,94,348.482762,4.61,94,7.1,0.3
0,5867,72.6,122,5.07,28.2,0,0,9,9,367.429453,4.6,9,7.3,0.3
0,52384,72.5,123,4.75,27.5,0,0,99,98,3312.825985,4.83,99,7.4,0.4
0,496963,72.4,124,4.45,26.8,0,0,99,98,3444.5566,4.24,99,7.6,0.4
0,491723,72.4,124,4.16,26.2,0,0,99,98,3638.95946,3.96,99,7.8,0.4
0,486438,72.3,126,5.28,25.5,0,0,98,96,3112.285712,4.3,98,8.1,0.6
0,48795,72.1,129,4.25,24.9,0,0,97,95,234.28992,5.11,96,8.3,0.6
0,474567,71.8,134,4.26,24.3,0,0,95,93,248.13459,4.86,95,8.5,0.8
0,467664,71.4,14,4.19,23.7,0,0,94,91,1976.45856,5.6,93,8.7,0.8
0,46147,71.1,144,4.16,23.2,0,0,93,66,1768.92132,5,92,8.9,0.9
0,45216,77,148,3.82,22.6,0,0,92,4,1373.515636,5.17,91,9.2,0.8
0,152779,68.3,179,0.01,18.9,11,0,87,88,198.687123,5.68,88,1.9,0.2
0,1522692,67.8,183,0.01,18.2,11,0,66,83,128.419568,5.93,83,11,0.2
